Year,MajorArea,Total,Other North,Other South,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Caribbean Netherlands,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,China Hong Kong SAR,China Macao SAR,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czechia,North Korea,Rep. Dem. of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands,Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,South Korea,Republic of Moldova,Reunion,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,TFYR Macedonia,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,Tanzania,USA,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela,Viet Nam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
1995,Western Sahara,2989,47,77,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,Southern Africa,1191582,15984,47361,97,63,917,0,0,34928,0,662,772,89,0,4020,3381,0,70,168,1585,18,93,4269,0,338,38,0,98,91,16778,1715,14,14,2436,100,1883,0,0,1603,2666,0,0,73,0,0,450,13638,1075,0,159,120,5300,0,0,738,391,1377,0,1304,886,227,12860,1144,0,0,0,0,1449,0,0,325,56,2093,0,0,29,480,4586,0,0,190,122,0,38279,4353,21,3034,0,0,0,0,56,123,18,34,0,0,0,0,13,14552,869,467,88,4991,0,2032,10211,119,946,34,0,5659,0,56,0,20,163,628,132001,197,147,0,157,72,424,18782,554,34,65,133,0,0,0,4226,0,86,0,9,0,0,0,660,335763,131,24340,14,77,12193,0,1253,66,13,11603,13,17,621,20,3145,0,36,36,72,124,1270,2735,17337,0,0,1062,0,561,674,1780,2030,137,16,0,0,0,0,0,0,377,1717,1550,280,470,352,0,164,0,0,3017,31858,0,963,1080,60,1914,0,29130,361,2831,70,0,48,329,0,0,0,0,16,69,600,0,0,0,4141,1851,109,110234,4094,9116,0,69,0,0,184,97,0,0,51,20442,111163
1995,Botswana,40168,551,4356,0,0,0,0,0,889,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,1055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,849,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2375,0,0,0,178,0,0,155,0,0,0,0,179,0,0,0,0,0,0,816,0,0,0,0,0,161,1150,0,0,0,0,0,0,0,471,0,0,0,0,0,0,0,0,297,0,462,0,0,181,0,0,0,0,187,0,0,111,0,175,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,9329,0,0,480,0,0,0,174,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,0,0,2034,743,313,0,0,0,0,0,0,0,0,0,3213,7917
1995,Lesotho,7204,2133,1047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,4,0,0,0,0,0,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2528,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,100,91,0,0,0,0,0,0,0,0,0,72,72
1995,Namibia,115372,659,2477,61,0,684,0,0,22978,0,662,70,89,0,758,861,0,70,68,45,0,0,260,0,219,0,0,0,0,932,755,0,0,43,100,549,0,0,167,266,0,0,0,0,0,45,4392,0,0,0,0,1579,0,0,43,0,961,0,0,107,142,4501,160,0,0,0,0,245,0,0,0,0,298,0,0,0,110,758,0,0,0,122,0,12815,202,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,953,127,43,0,85,0,153,1165,0,160,0,0,1569,0,0,0,0,0,65,177,0,49,0,0,61,0,521,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,194,0,0,0,0,729,0,70,0,0,1389,0,0,75,0,235,0,0,0,0,0,348,238,613,0,0,49,0,0,43,642,506,0,0,0,0,0,0,0,0,0,43,0,80,231,0,0,0,0,0,131,11988,0,485,0,0,281,0,277,142,606,0,0,0,104,0,0,0,0,0,0,49,0,0,0,680,363,0,2429,1553,1485,0,0,0,0,0,0,0,0,0,4277,20430
1995,South Africa,1003807,12068,38038,36,63,233,0,0,11043,0,0,702,0,0,3145,2520,0,0,100,1540,18,93,4009,0,119,38,0,98,91,15678,960,14,14,2393,0,1305,0,0,1436,2292,0,0,73,0,0,405,8051,1075,0,159,120,3712,0,0,695,391,416,0,1304,779,85,7488,886,0,0,0,0,1204,0,0,325,56,1792,0,0,29,370,3828,0,0,190,0,0,25144,4046,21,3034,0,0,0,0,56,48,18,34,0,0,0,0,13,10958,742,424,88,4728,0,1879,8891,119,786,34,0,3911,0,56,0,20,163,563,130897,192,98,0,157,11,263,17067,554,34,65,133,0,0,0,3604,0,86,0,9,0,0,0,660,320659,131,23874,14,77,11283,0,1181,66,13,10027,13,17,435,20,2469,0,36,36,72,124,922,2497,16592,0,0,1013,0,561,631,1138,1512,137,16,0,0,0,0,0,0,377,1674,1550,133,239,352,0,164,0,0,2874,0,0,478,600,60,1633,0,28635,95,2225,70,0,48,225,0,0,0,0,16,69,551,0,0,0,2882,1488,109,105771,1698,7115,0,69,0,0,184,97,0,0,51,12880,82744
1995,Swaziland,25031,573,1443,0,0,0,0,0,18,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,29,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14585,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0
1995,Western Africa,5410742,75621,229404,0,0,6049,0,0,1971,0,0,72,0,0,17,0,0,0,0,0,0,0,344,0,232431,0,0,0,0,0,1108,0,0,0,1201140,0,909,0,13016,884,0,0,496,13159,0,0,1208,0,0,0,0,5135,0,0,387289,0,162,0,0,0,6,361,0,0,0,0,0,236,0,56,0,0,16,0,0,0,0,19448,0,0,5250,19646,0,1911,245481,0,0,0,0,0,0,0,342284,42133,0,0,0,0,0,0,1603,0,0,82,0,0,24,675,0,70,0,0,8,0,30,0,0,0,7857,0,513944,5652,0,0,8,0,0,0,0,702395,0,0,0,133719,0,0,5,0,0,0,0,0,3886,64,0,0,0,0,494,0,0,0,158668,124784,0,0,0,0,47,0,0,0,0,4,20,34,1982,0,0,240,0,0,0,1044,1166,0,0,0,0,0,0,0,3132,2307,193361,0,0,422273,0,0,0,0,0,0,306,0,469,15,144,436,0,0,1094,272,204,0,0,0,14,271347,0,0,0,236,0,0,0,0,0,133,66,2987,6,6162,30,0,0,0,0,0,0,0,0,0,0
1995,Benin,104971,1228,15105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3331,0,0,0,0,0,0,0,0,374,0,0,0,0,0,0,0,789,0,0,7612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743,0,0,0,0,0,0,5656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25546,22139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,Burkina Faso,434848,7938,20390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10291,3161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,Cabo Verde,9979,538,519,0,0,0,0,0,1899,0,0,8,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,12,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,14,10,0,33,74,0,0,0,0,0,0,0,80,839,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,12,0,0,0,0,0,0,5,0,0,0,0,0,0,64,0,0,0,0,72,0,0,0,0,114,0,0,0,0,0,0,0,0,0,4,0,0,1031,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,3111,0,384,0,0,26,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,24,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,37,0,22,0,232,30,0,0,0,0,0,0,0,0,0,0
1995,Cote d'Ivoire,2076394,17320,20279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57138,0,0,0,0,0,0,0,0,0,1114233,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6022,0,0,90436,0,0,0,0,0,0,0,135616,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22779,5397,0,0,0,0,0,0,0,445636,0,0,0,10316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55202,36486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24586,0,0,693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,Gambia,150890,1415,2829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30668,9365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,0,0,0,0,0,0,0,0,7028,0,0,0,2474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89990,0,0,6835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,Ghana,252879,4344,6755,0,0,7,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,8928,0,0,0,0,0,7,0,0,0,41526,0,0,0,61,147,0,0,0,8,0,0,121,0,0,0,0,0,0,0,4885,0,0,0,0,0,0,16,0,0,0,0,0,21,0,0,0,0,16,0,0,0,0,116,0,0,0,19,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,452,0,0,0,0,0,24,123,0,30,0,0,8,0,0,0,0,0,523,0,14538,0,0,0,0,0,0,0,0,3580,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,4214,14826,0,0,0,0,47,0,0,0,0,0,20,34,0,0,0,0,0,0,0,47,267,0,0,0,0,0,0,0,0,0,53,0,0,1180,0,0,0,0,0,0,0,0,0,15,0,18,0,0,0,104,37,0,0,0,0,144121,0,0,0,0,0,0,0,0,0,0,0,969,6,435,0,0,0,0,0,0,0,0,0,0,0
1995,Guinea,774505,3962,1321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,2710,0,0,0,0,0,285,0,0,0,552,0,112,0,0,342,0,0,0,0,0,0,154,0,0,0,0,0,0,0,2850,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1893,0,0,0,935,0,0,0,0,0,0,0,0,0,0,0,3226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,449575,0,0,0,0,0,0,0,0,17927,0,0,0,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1606,1049,0,0,0,0,0,0,0,0,0,0,0,0,273,0,0,159,0,0,0,551,0,0,0,0,0,0,0,0,0,786,7805,0,0,273125,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,34,0,0,0,0,1692,0,0,0,0,0,0,0,0,0,96,0,0,0,636,0,0,0,0,0,0,0,0,0,0,0
1995,Guinea-Bissau,27961,488,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,1247,0,0,0,0,0,0,0,0,0,0,4069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2407,0,0,0,0,0,0,0,0,0,0,0,0,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16635,0,0,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,0,0,0,0,0,0,0,0,0,0,0
1995,Liberia,208563,5428,13407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,379,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,0,0,0,650,0,906,9723,0,0,0,0,0,0,0,32238,2211,0,0,0,0,0,0,756,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0,0,0,4133,0,0,0,0,0,0,0,0,0,0,1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,0,0,0,1101,2337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,0,124102,0,0,0,0,0,0,0,0,279,0,0,0,0,0,1094,144,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,1119,0,2891,0,0,0,0,0,0,0,0,0,0,0
1995,Mali,176187,1864,16808,0,0,507,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566,0,0,0,0,0,0,0,0,0,20221,0,0,0,618,0,0,0,295,0,0,0,190,0,0,0,0,4208,0,0,59377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2679,0,0,4670,621,0,0,2323,0,0,0,0,0,0,0,17896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612,0,0,0,0,0,0,0,0,0,0,0,0,20955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4803,1663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,12540,0,0,1283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,934,0,0,0,0,0,0,0,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0
1995,Mauritania,89562,55,1453,0,0,1549,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,59,0,524,0,0,0,0,0,152,0,0,0,0,0,0,0,373,49,0,0,0,50,0,0,151,0,0,0,0,0,0,0,186,0,0,0,0,0,0,33,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,198,0,0,0,0,0,0,0,2936,1140,0,0,0,0,0,0,0,0,0,82,0,0,0,53,0,0,0,0,0,0,30,0,0,0,113,0,0,132,0,0,0,0,0,0,0,41626,0,0,0,0,0,0,0,0,0,0,0,0,326,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,59,0,0,0,0,0,0,0,0,0,291,36493,0,0,0,0,0,0,0,0,0,0,0,82,0,144,0,0,0,0,0,133,0,0,0,0,111,0,0,0,236,0,0,0,0,0,0,66,0,0,105,0,0,0,0,0,0,0,0,0,0,0
1995,Niger,145999,2217,7747,0,0,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12961,0,0,0,0,0,0,0,0,0,13956,0,0,0,329,0,0,0,0,1077,0,0,0,0,0,0,0,0,0,0,2774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,64573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,0,0,0,0,0,0,0,0,0,7356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,Nigeria,462999,14463,86999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117556,0,0,0,0,0,0,0,0,0,0,0,0,0,10384,0,0,0,0,11265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7931,0,0,0,0,0,0,0,0,39251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,Saint Helena,394,21,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,Senegal,287654,12546,25092,0,0,3622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3120,0,0,0,0,0,560,0,0,0,0,0,0,0,875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11977,0,0,0,4458,0,754,1543,0,0,0,0,0,0,0,44519,24916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952,0,0,0,0,0,0,0,0,0,0,29450,0,0,0,98848,0,0,0,0,0,0,0,0,3560,0,0,0,0,0,0,0,0,0,1460,733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1230,0,0,0,12876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1443,0,0,0,0,0,0,0,0,0,0,0,0,0,692,0,0,0,0,0,0,0,0,0,0,0
1995,Sierra Leone,105374,389,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,34,0,4,0,0,37,0,0,0,0,0,0,273,0,0,0,0,0,0,0,72,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5110,0,131,1274,0,0,0,0,0,0,0,72439,23,0,0,0,0,0,0,395,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2136,0,15725,0,0,0,0,0,0,0,0,1904,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,2063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,73,0,0,0,0,0,0,0,0,0,0,718,0,0,0,0,0,0,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,595,0,493,0,0,0,0,0,0,0,0,0,0,0
1995,Togo,101583,1405,9456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,26058,0,0,0,0,0,0,0,0,0,6908,0,21,0,376,20,0,0,201,385,0,0,278,0,0,0,0,138,0,0,1791,0,0,0,0,0,0,312,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,1523,0,0,484,574,0,87,19575,0,0,0,0,0,0,0,1749,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,2038,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14286,11900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,899,0,0,0,0,0,0,0,21,0,544,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0
